SourceFile,ImageDescription,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20221006_101658_Jl-agraria-Sta-0+300.JPG,"Jl agraria
Sta 0+300",20221006_101658_Jl-agraria-Sta-0+300.JPG,2022:10:06 10:16:58,"5 deg 32' 1.43"" N, 95 deg 21' 2.57"" E","Jl agraria
Sta 0+300"
D:/Data/20221006_102717_Jl-belibis-Sta-0+000.JPG,"Jl belibis
Sta 0+000",20221006_102717_Jl-belibis-Sta-0+000.JPG,2022:10:06 10:27:17,"5 deg 33' 2.30"" N, 95 deg 19' 39.60"" E","Jl belibis
Sta 0+000"
D:/Data/20221006_102741_Jl-belibis-Sta-0+050.JPG,"Jl belibis
Sta 0+050",20221006_102741_Jl-belibis-Sta-0+050.JPG,2022:10:06 10:27:41,"5 deg 33' 1.18"" N, 95 deg 19' 39.52"" E","Jl belibis
Sta 0+050"
D:/Data/20221006_102803_Jl-belibis-Sta-0+100.JPG,"Jl belibis
Sta 0+100",20221006_102803_Jl-belibis-Sta-0+100.JPG,2022:10:06 10:28:03,"5 deg 32' 59.26"" N, 95 deg 19' 39.35"" E","Jl belibis
Sta 0+100"
D:/Data/20221006_102816_Jl-belibis-Sta-0+150.JPG,"Jl belibis
Sta 0+150",20221006_102816_Jl-belibis-Sta-0+150.JPG,2022:10:06 10:28:16,"5 deg 32' 57.12"" N, 95 deg 19' 39.35"" E","Jl belibis
Sta 0+150"
D:/Data/20221006_102830_Jl-belibis-Sta-0+200.JPG,"Jl belibis
Sta 0+200",20221006_102830_Jl-belibis-Sta-0+200.JPG,2022:10:06 10:28:30,"5 deg 32' 55.87"" N, 95 deg 19' 39.49"" E","Jl belibis
Sta 0+200"
D:/Data/20221006_102904_Jl-belibis-Sta-0+235.JPG,"Jl belibis
Sta 0+235",20221006_102904_Jl-belibis-Sta-0+235.JPG,2022:10:06 10:29:04,"5 deg 32' 54.91"" N, 95 deg 19' 38.89"" E","Jl belibis
Sta 0+235"
D:/Data/20221006_102923_Jl-adam-Sta-0+000.JPG,"Jl adam
Sta 0+000",20221006_102923_Jl-adam-Sta-0+000.JPG,2022:10:06 10:29:23,"5 deg 32' 54.91"" N, 95 deg 19' 38.89"" E","Jl adam
Sta 0+000"
D:/Data/20221006_103008_Jl-adam-Sta-0+050.JPG,"Jl adam
Sta 0+050",20221006_103008_Jl-adam-Sta-0+050.JPG,2022:10:06 10:30:08,"5 deg 32' 54.93"" N, 95 deg 19' 36.91"" E","Jl adam
Sta 0+050"
D:/Data/20221006_103025_Jl-adam-Sta-0+100.JPG,"Jl adam
Sta 0+100",20221006_103025_Jl-adam-Sta-0+100.JPG,2022:10:06 10:30:25,"5 deg 32' 54.99"" N, 95 deg 19' 35.51"" E","Jl adam
Sta 0+100"
D:/Data/20221006_103051_Jl-adam-Sta-0+150.JPG,"Jl adam
Sta 0+150",20221006_103051_Jl-adam-Sta-0+150.JPG,2022:10:06 10:30:51,"5 deg 32' 54.94"" N, 95 deg 19' 33.67"" E","Jl adam
Sta 0+150"
D:/Data/20221006_103111_Jl-adam-Sta-0+200.JPG,"Jl adam
Sta 0+200",20221006_103111_Jl-adam-Sta-0+200.JPG,2022:10:06 10:31:11,"5 deg 32' 54.70"" N, 95 deg 19' 32.16"" E","Jl adam
Sta 0+200"
D:/Data/20221006_103145_Jl-adam-Sta-0+250.JPG,"Jl adam
Sta 0+250",20221006_103145_Jl-adam-Sta-0+250.JPG,2022:10:06 10:31:45,"5 deg 32' 53.64"" N, 95 deg 19' 31.25"" E","Jl adam
Sta 0+250"
D:/Data/20221006_103232_Jl-adam-Sta-0+300.JPG,"Jl adam
Sta 0+300",20221006_103232_Jl-adam-Sta-0+300.JPG,2022:10:06 10:32:32,"5 deg 32' 52.34"" N, 95 deg 19' 31.25"" E","Jl adam
Sta 0+300"
D:/Data/20221006_103256_Jl-adam-Sta-0+350.JPG,"Jl adam
Sta 0+350",20221006_103256_Jl-adam-Sta-0+350.JPG,2022:10:06 10:32:56,"5 deg 32' 50.51"" N, 95 deg 19' 31.14"" E","Jl adam
Sta 0+350"
D:/Data/20221006_103314_Jl-adam-Sta-0+400.JPG,"Jl adam
Sta 0+400",20221006_103314_Jl-adam-Sta-0+400.JPG,2022:10:06 10:33:14,"5 deg 32' 49.03"" N, 95 deg 19' 30.95"" E","Jl adam
Sta 0+400"
D:/Data/20221006_103327_Jl-adam-Sta-0+450.JPG,"Jl adam
Sta 0+450",20221006_103327_Jl-adam-Sta-0+450.JPG,2022:10:06 10:33:27,"5 deg 32' 47.48"" N, 95 deg 19' 30.89"" E","Jl adam
Sta 0+450"
