SourceFile,ImageDescription,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20230106_094854_Jl.-Pango-0+000.jpg,"Jl. Pango
0+000",20230106_094854_Jl.-Pango-0+000.jpg,2023:01:06 09:48:54,"5 deg 32' 18.78"" N, 95 deg 16' 58.20"" E",-
D:/Data/20230106_095106_Jl.-Lampadang-0+100.jpg,"Jl. Lampadang
0+100",20230106_095106_Jl.-Lampadang-0+100.jpg,2023:01:06 09:51:06,"5 deg 32' 18.77"" N, 95 deg 16' 58.28"" E",-
D:/Data/20230106_095319_Jl.-Lampadang-0+200.jpg,"Jl. Lampadang
0+200",20230106_095319_Jl.-Lampadang-0+200.jpg,2023:01:06 09:53:19,"5 deg 32' 21.00"" N, 95 deg 16' 57.08"" E",-
D:/Data/20230106_095456_Jl.-Lampadang-0+300.jpg,"Jl. Lampadang
0+300",20230106_095456_Jl.-Lampadang-0+300.jpg,2023:01:06 09:54:56,"5 deg 32' 24.00"" N, 95 deg 16' 55.50"" E",-
D:/Data/20230106_095618_Jl.-Lampadang-0+390.jpg,"Jl. Lampadang
0+390",20230106_095618_Jl.-Lampadang-0+390.jpg,2023:01:06 09:56:18,"5 deg 32' 26.97"" N, 95 deg 16' 53.93"" E",-
D:/Data/20230106_100529_Jl.-Lampoh-Date-2-0+000.jpg,"Jl. Lampoh Date 2
0+000",20230106_100529_Jl.-Lampoh-Date-2-0+000.jpg,2023:01:06 10:05:29,"5 deg 32' 21.14"" N, 95 deg 17' 4.00"" E",-
D:/Data/20230106_101214_Jl.-Lampoh-Date-2-0+100.jpg,"Jl. Lampoh Date 2
0+100",20230106_101214_Jl.-Lampoh-Date-2-0+100.jpg,2023:01:06 10:12:14,"5 deg 32' 19.99"" N, 95 deg 16' 59.35"" E",-
D:/Data/20230106_101338_Jl.-Lampoh-Date-2-0+135.jpg,"Jl. Lampoh Date 2
0+135",20230106_101338_Jl.-Lampoh-Date-2-0+135.jpg,2023:01:06 10:13:38,"5 deg 32' 19.34"" N, 95 deg 16' 58.40"" E",-
D:/Data/20230106_101657_Jl.-pinus-0+000.jpg,"Jl. pinus
0+000",20230106_101657_Jl.-pinus-0+000.jpg,2023:01:06 10:16:57,"5 deg 32' 8.83"" N, 95 deg 16' 57.78"" E",-
D:/Data/20230106_101819_Jl.-pinus-0+050.jpg,"Jl. pinus
0+050",20230106_101819_Jl.-pinus-0+050.jpg,2023:01:06 10:18:19,"5 deg 32' 9.60"" N, 95 deg 16' 56.56"" E",-
