SourceFile,ImageDescription,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20230110_095602_-Jl.-Tgk.Abd.-Meunasah-Meuncap-0+000.jpg,"
Jl. Tgk.Abd. Meunasah Meuncap
0+000",20230110_095602_-Jl.-Tgk.Abd.-Meunasah-Meuncap-0+000.jpg,2023:01:10 09:56:02,"5 deg 31' 45.05"" N, 95 deg 17' 41.86"" E",-
D:/Data/20230110_095940_-Jl.-Tgk.Abd.-Meunasah-Meuncap-0+100.jpg,"
Jl. Tgk.Abd. Meunasah Meuncap
0+100",20230110_095940_-Jl.-Tgk.Abd.-Meunasah-Meuncap-0+100.jpg,2023:01:10 09:59:40,"5 deg 31' 47.47"" N, 95 deg 17' 38.48"" E",-
D:/Data/20230111_151053_Jl.-H.-Binti-0+000.jpg,"Jl. H. Binti
0+000",20230111_151053_Jl.-H.-Binti-0+000.jpg,2023:01:11 15:10:53,"5 deg 31' 39.38"" N, 95 deg 17' 45.77"" E",-
D:/Data/20230111_151314_Jl.-H.-Binti-0+100.jpg,"Jl. H. Binti
0+100",20230111_151314_Jl.-H.-Binti-0+100.jpg,2023:01:11 15:13:14,"5 deg 31' 38.36"" N, 95 deg 17' 42.69"" E",-
D:/Data/20230111_151454_Jl.-H.-Binti-0+200.jpg,"Jl. H. Binti
0+200",20230111_151454_Jl.-H.-Binti-0+200.jpg,2023:01:11 15:14:54,"5 deg 31' 37.39"" N, 95 deg 17' 39.93"" E",-
D:/Data/20230111_151612_Jl.-H.-Binti-0+265.jpg,"Jl. H. Binti
0+265",20230111_151612_Jl.-H.-Binti-0+265.jpg,2023:01:11 15:16:12,"5 deg 31' 36.45"" N, 95 deg 17' 37.53"" E",-
D:/Data/20230111_151841_Jl.-H.-Binti-III-0+000.jpg,"Jl. H. Binti III
0+000",20230111_151841_Jl.-H.-Binti-III-0+000.jpg,2023:01:11 15:18:41,"5 deg 31' 36.31"" N, 95 deg 17' 37.34"" E",-
D:/Data/20230111_152051_Jl.-H.-Binti-III-0+100.jpg,"Jl. H. Binti III
0+100",20230111_152051_Jl.-H.-Binti-III-0+100.jpg,2023:01:11 15:20:50,"5 deg 31' 34.94"" N, 95 deg 17' 35.02"" E",-
D:/Data/20230111_152158_Jl.-H.-Binti-III-0+110.jpg,"Jl. H. Binti III
0+110",20230111_152158_Jl.-H.-Binti-III-0+110.jpg,2023:01:11 15:21:57,"5 deg 31' 34.79"" N, 95 deg 17' 34.57"" E",-
D:/Data/20230111_152520_Jl.-H.-Binti-II-0+000.jpg,"Jl. H. Binti II
0+000",20230111_152520_Jl.-H.-Binti-II-0+000.jpg,2023:01:11 15:25:20,"5 deg 31' 37.08"" N, 95 deg 17' 38.62"" E",-
D:/Data/20230111_152655_Jl.-H.-Binti-II-0+070.jpg,"Jl. H. Binti II
0+070",20230111_152655_Jl.-H.-Binti-II-0+070.jpg,2023:01:11 15:26:55,"5 deg 31' 34.84"" N, 95 deg 17' 39.16"" E",-
D:/Data/20230111_152852_Jl.-H.-Binti-I-0+000.jpg,"Jl. H. Binti I
0+000",20230111_152852_Jl.-H.-Binti-I-0+000.jpg,2023:01:11 15:28:52,"5 deg 31' 37.54"" N, 95 deg 17' 39.82"" E",-
D:/Data/20230111_153128_Jl.-H.-Binti-I-0+108.jpg,"Jl. H. Binti I
0+108",20230111_153128_Jl.-H.-Binti-I-0+108.jpg,2023:01:11 15:31:28,"5 deg 31' 34.26"" N, 95 deg 17' 40.83"" E",-
D:/Data/20230111_153745_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+200.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
0+200",20230111_153745_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+200.jpg,2023:01:11 15:37:45,"5 deg 31' 49.15"" N, 95 deg 17' 36.27"" E",-
D:/Data/20230111_153856_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+300.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
0+300",20230111_153856_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+300.jpg,2023:01:11 15:38:56,"5 deg 31' 51.33"" N, 95 deg 17' 33.32"" E",-
D:/Data/20230111_154009_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+400.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
0+400",20230111_154009_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+400.jpg,2023:01:11 15:40:09,"5 deg 31' 52.95"" N, 95 deg 17' 31.13"" E",-
D:/Data/20230111_154113_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+500.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
0+500",20230111_154113_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+500.jpg,2023:01:11 15:41:13,"5 deg 31' 55.50"" N, 95 deg 17' 27.91"" E",-
D:/Data/20230111_154213_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+600.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
0+600",20230111_154213_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+600.jpg,2023:01:11 15:42:13,"5 deg 31' 57.59"" N, 95 deg 17' 25.15"" E",-
D:/Data/20230111_154329_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+700.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
0+700",20230111_154329_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+700.jpg,2023:01:11 15:43:29,"5 deg 32' 0.11"" N, 95 deg 17' 21.72"" E",-
D:/Data/20230111_154445_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+800.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
0+800",20230111_154445_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+800.jpg,2023:01:11 15:44:45,"5 deg 32' 2.48"" N, 95 deg 17' 18.32"" E",-
D:/Data/20230111_154540_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+900.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
0+900",20230111_154540_Jl.-Tgk.-Abd.-Meunasah-Meuncap-0+900.jpg,2023:01:11 15:45:40,"5 deg 32' 4.26"" N, 95 deg 17' 15.85"" E",-
D:/Data/20230111_154728_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+000.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
1+000",20230111_154728_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+000.jpg,2023:01:11 15:47:28,"5 deg 32' 6.18"" N, 95 deg 17' 13.25"" E",-
D:/Data/20230111_154842_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+100.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
1+100",20230111_154842_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+100.jpg,2023:01:11 15:48:42,"5 deg 32' 8.11"" N, 95 deg 17' 10.43"" E",-
D:/Data/20230111_154958_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+200.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
1+200",20230111_154958_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+200.jpg,2023:01:11 15:49:58,"5 deg 32' 10.39"" N, 95 deg 17' 6.90"" E",-
D:/Data/20230111_155103_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+300.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
1+300",20230111_155103_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+300.jpg,2023:01:11 15:51:03,"5 deg 32' 11.68"" N, 95 deg 17' 5.16"" E",-
D:/Data/20230111_155216_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+400.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
1+400",20230111_155216_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+400.jpg,2023:01:11 15:52:16,"5 deg 32' 14.10"" N, 95 deg 17' 2.15"" E",-
D:/Data/20230111_155321_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+450.jpg,"Jl. Tgk. Abd. Meunasah Meuncap
1+450",20230111_155321_Jl.-Tgk.-Abd.-Meunasah-Meuncap-1+450.jpg,2023:01:11 15:53:21,"5 deg 32' 14.32"" N, 95 deg 17' 2.07"" E",-
D:/Data/20230111_155801_Jl.-H.-Abdullah-0+000.jpg,"Jl. H. Abdullah
0+000",20230111_155801_Jl.-H.-Abdullah-0+000.jpg,2023:01:11 15:58:01,"5 deg 31' 59.18"" N, 95 deg 17' 26.43"" E",-
D:/Data/20230111_160008_Jl.-H.-Abdullah-0+100.jpg,"Jl. H. Abdullah
0+100",20230111_160008_Jl.-H.-Abdullah-0+100.jpg,2023:01:11 16:00:08,"5 deg 32' 2.42"" N, 95 deg 17' 25.81"" E",-
D:/Data/20230111_160159_Jl.-H.-Abdullah-0+200.jpg,"Jl. H. Abdullah
0+200",20230111_160159_Jl.-H.-Abdullah-0+200.jpg,2023:01:11 16:01:59,"5 deg 32' 4.62"" N, 95 deg 17' 27.86"" E",-
D:/Data/20230111_160313_Jl.-H.-Abdullah-0+300.jpg,"Jl. H. Abdullah
0+300",20230111_160313_Jl.-H.-Abdullah-0+300.jpg,2023:01:11 16:03:13,"5 deg 32' 5.50"" N, 95 deg 17' 31.31"" E",-
D:/Data/20230111_160445_Jl.-H.-Abdullah-0+308.jpg,"Jl. H. Abdullah
0+308",20230111_160445_Jl.-H.-Abdullah-0+308.jpg,2023:01:11 16:04:45,"5 deg 32' 5.58"" N, 95 deg 17' 32.08"" E",-
D:/Data/20230111_161044_Jl.-Kutaran-0+000.jpg,"Jl. Kutaran
0+000",20230111_161044_Jl.-Kutaran-0+000.jpg,2023:01:11 16:10:44,"5 deg 31' 49.49"" N, 95 deg 17' 35.75"" E",-
D:/Data/20230111_161254_Jl.-Kutaran-0+100.jpg,"Jl. Kutaran
0+100",20230111_161254_Jl.-Kutaran-0+100.jpg,2023:01:11 16:12:54,"5 deg 31' 48.90"" N, 95 deg 17' 32.13"" E",-
D:/Data/20230111_161442_Jl.-Kutaran-0+190.jpg,"Jl. Kutaran
0+190",20230111_161442_Jl.-Kutaran-0+190.jpg,2023:01:11 16:14:42,"5 deg 31' 51.38"" N, 95 deg 17' 31.15"" E",-
D:/Data/20230111_161625_Jl.-Purnama-0+000.jpg,"Jl. Purnama
0+000",20230111_161625_Jl.-Purnama-0+000.jpg,2023:01:11 16:16:25,"5 deg 31' 52.29"" N, 95 deg 17' 31.63"" E",-
D:/Data/20230111_161935_Jl.-Purnama-0+100.jpg,"Jl. Purnama
0+100",20230111_161935_Jl.-Purnama-0+100.jpg,2023:01:11 16:19:35,"5 deg 31' 51.01"" N, 95 deg 17' 28.32"" E",-
D:/Data/20230111_162008_Jl.-Purnama-0+120.jpg,"Jl. Purnama
0+120",20230111_162008_Jl.-Purnama-0+120.jpg,2023:01:11 16:20:08,"5 deg 31' 50.96"" N, 95 deg 17' 27.89"" E",-
D:/Data/20230111_162327_Jl.-Mona-0+000.jpg,"Jl. Mona
0+000",20230111_162327_Jl.-Mona-0+000.jpg,2023:01:11 16:23:27,"5 deg 31' 52.40"" N, 95 deg 17' 32.31"" E",-
D:/Data/20230111_162436_Jl.-Mona-0+040.jpg,"Jl. Mona
0+040",20230111_162436_Jl.-Mona-0+040.jpg,2023:01:11 16:24:36,"5 deg 31' 52.74"" N, 95 deg 17' 33.72"" E",-
D:/Data/20230111_162522_Jl.-Mona-0+050.jpg,"Jl. Mona
0+050",20230111_162522_Jl.-Mona-0+050.jpg,2023:01:11 16:25:22,"5 deg 31' 53.36"" N, 95 deg 17' 33.93"" E",-
D:/Data/20230111_162831_Jl.-Permai-0+000.jpg,"Jl. Permai
0+000",20230111_162831_Jl.-Permai-0+000.jpg,2023:01:11 16:28:31,"5 deg 31' 48.79"" N, 95 deg 17' 36.81"" E",-
D:/Data/20230111_163112_Jl.-Permai-0+100.jpg,"Jl. Permai
0+100",20230111_163112_Jl.-Permai-0+100.jpg,2023:01:11 16:31:12,"5 deg 31' 45.77"" N, 95 deg 17' 36.05"" E",-
