SourceFile,ImageDescription,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20230116_102014_Jl.-jakalam-0+000.jpg,"Jl. jakalam
0+000",20230116_102014_Jl.-jakalam-0+000.jpg,2023:01:16 10:20:14,"5 deg 32' 7.99"" N, 95 deg 17' 40.43"" E",-
D:/Data/20230116_102136_Jl.-jakalam-0+050.jpg,"Jl. jakalam
0+050",20230116_102136_Jl.-jakalam-0+050.jpg,2023:01:16 10:21:36,"5 deg 32' 6.54"" N, 95 deg 17' 39.92"" E",-
D:/Data/20230116_102223_Jl.-jakalam-0+060.jpg,"Jl. jakalam
0+060",20230116_102223_Jl.-jakalam-0+060.jpg,2023:01:16 10:22:22,"5 deg 32' 5.50"" N, 95 deg 17' 40.27"" E",-
D:/Data/20230116_102312_Jl.-jakalam-0+150.jpg,"Jl. jakalam
0+150",20230116_102312_Jl.-jakalam-0+150.jpg,2023:01:16 10:23:11,"5 deg 32' 4.25"" N, 95 deg 17' 39.76"" E",-
D:/Data/20230116_102430_Jl.-jakalam-0+200.jpg,"Jl. jakalam
0+200",20230116_102430_Jl.-jakalam-0+200.jpg,2023:01:16 10:24:30,"5 deg 32' 1.77"" N, 95 deg 17' 37.95"" E",-
D:/Data/20230116_102502_Jl.-jakalam-0+250.jpg,"Jl. jakalam
0+250",20230116_102502_Jl.-jakalam-0+250.jpg,2023:01:16 10:25:02,"5 deg 32' 2.29"" N, 95 deg 17' 38.43"" E",-
D:/Data/20230116_102752_Jl.-Tgk.-chik-0+000.jpg,"Jl. Tgk. chik
0+000",20230116_102752_Jl.-Tgk.-chik-0+000.jpg,2023:01:16 10:27:52,"5 deg 32' 2.81"" N, 95 deg 17' 38.69"" E",-
D:/Data/20230116_102917_Jl.-Tgk.-chik-0+050.jpg,"Jl. Tgk. chik
0+050",20230116_102917_Jl.-Tgk.-chik-0+050.jpg,2023:01:16 10:29:17,"5 deg 32' 4.72"" N, 95 deg 17' 38.19"" E",-
D:/Data/20230116_102956_Jl.-Tgk.-chik-0+100.jpg,"Jl. Tgk. chik
0+100",20230116_102956_Jl.-Tgk.-chik-0+100.jpg,2023:01:16 10:29:56,"5 deg 32' 5.50"" N, 95 deg 17' 38.26"" E",-
D:/Data/20230116_103050_Jl.-Tgk.-chik-0+150.jpg,"Jl. Tgk. chik
0+150",20230116_103050_Jl.-Tgk.-chik-0+150.jpg,2023:01:16 10:30:50,"5 deg 32' 7.20"" N, 95 deg 17' 38.79"" E",-
D:/Data/20230116_103129_Jl.-Tgk.-chik-0+200.jpg,"Jl. Tgk. chik
0+200",20230116_103129_Jl.-Tgk.-chik-0+200.jpg,2023:01:16 10:31:29,"5 deg 32' 7.38"" N, 95 deg 17' 39.56"" E",-
D:/Data/20230116_103251_Jl.-Tgk.-chik-0+210.jpg,"Jl. Tgk. chik
0+210",20230116_103251_Jl.-Tgk.-chik-0+210.jpg,2023:01:16 10:32:51,"5 deg 32' 7.47"" N, 95 deg 17' 39.69"" E",-
D:/Data/20230116_104324_Jl.-Ateung-Kursi-0+000.jpg,"Jl. Ateung Kursi
0+000",20230116_104324_Jl.-Ateung-Kursi-0+000.jpg,2023:01:16 10:43:24,"5 deg 31' 51.32"" N, 95 deg 17' 53.97"" E",-
D:/Data/20230116_104524_Jl.-Ateung-Kursi-0+050.jpg,"Jl. Ateung Kursi
0+050",20230116_104524_Jl.-Ateung-Kursi-0+050.jpg,2023:01:16 10:45:24,"5 deg 31' 52.72"" N, 95 deg 17' 53.49"" E",-
D:/Data/20230116_104632_Jl.-Ateung-Kursi-0+100.jpg,"Jl. Ateung Kursi
0+100",20230116_104632_Jl.-Ateung-Kursi-0+100.jpg,2023:01:16 10:46:32,"5 deg 31' 54.19"" N, 95 deg 17' 53.13"" E",-
D:/Data/20230116_104726_Jl.-Ateung-Kursi-0+150.jpg,"Jl. Ateung Kursi
0+150",20230116_104726_Jl.-Ateung-Kursi-0+150.jpg,2023:01:16 10:47:26,"5 deg 31' 55.68"" N, 95 deg 17' 52.38"" E",-
D:/Data/20230116_104752_Jl.-Ateung-Kursi-0+200.jpg,"Jl. Ateung Kursi
0+200",20230116_104752_Jl.-Ateung-Kursi-0+200.jpg,2023:01:16 10:47:52,"5 deg 31' 56.69"" N, 95 deg 17' 52.03"" E",-
D:/Data/20230116_104816_Jl.-Ateung-Kursi-0+250.jpg,"Jl. Ateung Kursi
0+250",20230116_104816_Jl.-Ateung-Kursi-0+250.jpg,2023:01:16 10:48:16,"5 deg 31' 58.04"" N, 95 deg 17' 51.83"" E",-
D:/Data/20230116_104847_Jl.-Ateung-Kursi-0+270.jpg,"Jl. Ateung Kursi
0+270",20230116_104847_Jl.-Ateung-Kursi-0+270.jpg,2023:01:16 10:48:47,"5 deg 31' 58.55"" N, 95 deg 17' 51.70"" E",-
D:/Data/20230116_105256_jl.-Himpunan-0+000.jpg,"jl. Himpunan
0+000",20230116_105256_jl.-Himpunan-0+000.jpg,2023:01:16 10:52:56,"5 deg 31' 53.54"" N, 95 deg 17' 57.24"" E",-
D:/Data/20230116_105409_jl.-Himpunan-0+050.jpg,"jl. Himpunan
0+050",20230116_105409_jl.-Himpunan-0+050.jpg,2023:01:16 10:54:09,"5 deg 31' 55.74"" N, 95 deg 17' 58.07"" E",-
D:/Data/20230116_105451_jl.-Himpunan-0+100.jpg,"jl. Himpunan
0+100",20230116_105451_jl.-Himpunan-0+100.jpg,2023:01:16 10:54:51,"5 deg 31' 56.01"" N, 95 deg 17' 57.22"" E",-
D:/Data/20230116_105624_jl.-Himpunan-0+150.jpg,"jl. Himpunan
0+150",20230116_105624_jl.-Himpunan-0+150.jpg,2023:01:16 10:56:24,"5 deg 31' 55.88"" N, 95 deg 17' 56.13"" E",-
D:/Data/20230116_105716_jl.-Himpunan-0+200.jpg,"jl. Himpunan
0+200",20230116_105716_jl.-Himpunan-0+200.jpg,2023:01:16 10:57:16,"5 deg 31' 56.04"" N, 95 deg 17' 55.91"" E",-
D:/Data/20230116_105823_jl.-Himpunan-0+250.jpg,"jl. Himpunan
0+250",20230116_105823_jl.-Himpunan-0+250.jpg,2023:01:16 10:58:23,"5 deg 31' 56.02"" N, 95 deg 17' 54.96"" E",-
D:/Data/20230116_105942_jl.-Himpunan-0+300.jpg,"jl. Himpunan
0+300",20230116_105942_jl.-Himpunan-0+300.jpg,2023:01:16 10:59:42,"5 deg 31' 55.48"" N, 95 deg 17' 53.53"" E",-
D:/Data/20230116_111108_jl.-Lampanah-Sentosa-0+000.jpg,"jl. Lampanah Sentosa
0+000",20230116_111108_jl.-Lampanah-Sentosa-0+000.jpg,2023:01:16 11:11:08,"5 deg 32' 2.62"" N, 95 deg 17' 58.24"" E",-
D:/Data/20230116_111208_jl.-Lampanah-Sentosa-0+050.jpg,"jl. Lampanah Sentosa
0+050",20230116_111208_jl.-Lampanah-Sentosa-0+050.jpg,2023:01:16 11:12:08,"5 deg 32' 2.30"" N, 95 deg 17' 57.00"" E",-
D:/Data/20230116_111324_jl.-Lampanah-Sentosa-0+100.jpg,"jl. Lampanah Sentosa
0+100",20230116_111324_jl.-Lampanah-Sentosa-0+100.jpg,2023:01:16 11:13:24,"5 deg 32' 1.16"" N, 95 deg 17' 56.87"" E",-
D:/Data/20230116_111425_jl.-Lampanah-Sentosa-0+150.jpg,"jl. Lampanah Sentosa
0+150",20230116_111425_jl.-Lampanah-Sentosa-0+150.jpg,2023:01:16 11:14:25,"5 deg 32' 0.90"" N, 95 deg 17' 55.89"" E",-
D:/Data/20230116_111514_jl.-Lampanah-Sentosa-0+200.jpg,"jl. Lampanah Sentosa
0+200",20230116_111514_jl.-Lampanah-Sentosa-0+200.jpg,2023:01:16 11:15:14,"5 deg 32' 0.89"" N, 95 deg 17' 54.42"" E",-
D:/Data/20230116_111614_jl.-Lampanah-Sentosa-0+250.jpg,"jl. Lampanah Sentosa
0+250",20230116_111614_jl.-Lampanah-Sentosa-0+250.jpg,2023:01:16 11:16:14,"5 deg 32' 0.37"" N, 95 deg 17' 53.07"" E",-
D:/Data/20230116_111737_jl.-Lampanah-Sentosa-0+335.jpg,"jl. Lampanah Sentosa
0+335",20230116_111737_jl.-Lampanah-Sentosa-0+335.jpg,2023:01:16 11:17:37,"5 deg 31' 59.68"" N, 95 deg 17' 51.73"" E",-
D:/Data/20230116_111740_jl.-Lampanah-Sentosa-0+335.jpg,"jl. Lampanah Sentosa
0+335",20230116_111740_jl.-Lampanah-Sentosa-0+335.jpg,2023:01:16 11:17:40,"5 deg 31' 59.68"" N, 95 deg 17' 51.73"" E",-
D:/Data/20230116_114016_jl.-lam-awe--0+000.jpg,"jl. lam awe 
0+000",20230116_114016_jl.-lam-awe--0+000.jpg,2023:01:16 11:40:16,"5 deg 31' 55.13"" N, 95 deg 18' 0.97"" E",-
D:/Data/20230116_114125_jl.-lam-awe--0+100.jpg,"jl. lam awe 
0+100",20230116_114125_jl.-lam-awe--0+100.jpg,2023:01:16 11:41:25,"5 deg 31' 52.64"" N, 95 deg 18' 2.47"" E",-
D:/Data/20230116_114236_jl.-lam-awe--0+200.jpg,"jl. lam awe 
0+200",20230116_114236_jl.-lam-awe--0+200.jpg,2023:01:16 11:42:36,"5 deg 31' 51.88"" N, 95 deg 18' 3.96"" E",-
D:/Data/20230116_114327_jl.-lam-awe--0+300.jpg,"jl. lam awe 
0+300",20230116_114327_jl.-lam-awe--0+300.jpg,2023:01:16 11:43:27,"5 deg 31' 50.82"" N, 95 deg 18' 5.38"" E",-
D:/Data/20230116_114402_jl.-lam-awe--0+330.jpg,"jl. lam awe 
0+330",20230116_114402_jl.-lam-awe--0+330.jpg,2023:01:16 11:44:02,"5 deg 31' 49.84"" N, 95 deg 18' 5.70"" E",-
D:/Data/20230116_114500_jl.-lam-awe--0+400.jpg,"jl. lam awe 
0+400",20230116_114500_jl.-lam-awe--0+400.jpg,2023:01:16 11:45:00,"5 deg 31' 48.33"" N, 95 deg 18' 5.42"" E",-
D:/Data/20230116_114547_jl.-lam-awe--0+500.jpg,"jl. lam awe 
0+500",20230116_114547_jl.-lam-awe--0+500.jpg,2023:01:16 11:45:47,"5 deg 31' 46.89"" N, 95 deg 18' 2.86"" E",-
D:/Data/20230116_114641_jl.-lam-awe--0+600.jpg,"jl. lam awe 
0+600",20230116_114641_jl.-lam-awe--0+600.jpg,2023:01:16 11:46:41,"5 deg 31' 45.27"" N, 95 deg 17' 59.99"" E",-
D:/Data/20230116_114718_jl.-lam-awe--0+700.jpg,"jl. lam awe 
0+700",20230116_114718_jl.-lam-awe--0+700.jpg,2023:01:16 11:47:18,"5 deg 31' 44.65"" N, 95 deg 17' 57.40"" E",-
D:/Data/20230116_114752_jl.-lam-awe--0+743.jpg,"jl. lam awe 
0+743",20230116_114752_jl.-lam-awe--0+743.jpg,2023:01:16 11:47:52,"5 deg 31' 43.98"" N, 95 deg 17' 56.41"" E",-
D:/Data/20230116_115129_jl.-tgk-menara-l-0+000.jpg,"jl. tgk menara l
0+000",20230116_115129_jl.-tgk-menara-l-0+000.jpg,2023:01:16 11:51:29,"5 deg 31' 38.49"" N, 95 deg 17' 47.41"" E",-
