SourceFile,ImageDescription,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20230206_101927_Jl.-Tgk.-Meunara---IA-0+000.jpg,"Jl. Tgk. Meunara - IA
0+000",20230206_101927_Jl.-Tgk.-Meunara---IA-0+000.jpg,2023:02:06 10:19:27,"5 deg 31' 36.24"" N, 95 deg 17' 49.20"" E",-
D:/Data/20230206_101930_Jl.-Tgk.-Meunara---IA-0+000.jpg,"Jl. Tgk. Meunara - IA
0+000",20230206_101930_Jl.-Tgk.-Meunara---IA-0+000.jpg,2023:02:06 10:19:30,"5 deg 31' 36.24"" N, 95 deg 17' 49.20"" E",-
D:/Data/20230206_102306_Jl.-Tgk.-Meunara---IA-0+050.jpg,"Jl. Tgk. Meunara - IA
0+050",20230206_102306_Jl.-Tgk.-Meunara---IA-0+050.jpg,2023:02:06 10:23:06,"5 deg 31' 36.96"" N, 95 deg 17' 50.71"" E",-
D:/Data/20230206_102353_Jl.-Tgk.-Meunara---IA-0+100.jpg,"Jl. Tgk. Meunara - IA
0+100",20230206_102353_Jl.-Tgk.-Meunara---IA-0+100.jpg,2023:02:06 10:23:53,"5 deg 31' 37.97"" N, 95 deg 17' 52.48"" E",-
D:/Data/20230206_102443_Jl.-Tgk.-Meunara---IA-0+150.jpg,"Jl. Tgk. Meunara - IA
0+150",20230206_102443_Jl.-Tgk.-Meunara---IA-0+150.jpg,2023:02:06 10:24:43,"5 deg 31' 38.93"" N, 95 deg 17' 54.58"" E",-
D:/Data/20230206_102525_Jl.-Tgk.-Meunara---IA-0+200.jpg,"Jl. Tgk. Meunara - IA
0+200",20230206_102525_Jl.-Tgk.-Meunara---IA-0+200.jpg,2023:02:06 10:25:25,"5 deg 31' 39.02"" N, 95 deg 17' 56.43"" E",-
D:/Data/20230206_102607_Jl.-Tgk.-Meunara---IA-0+230.jpg,"Jl. Tgk. Meunara - IA
0+230",20230206_102607_Jl.-Tgk.-Meunara---IA-0+230.jpg,2023:02:06 10:26:06,"5 deg 31' 39.05"" N, 95 deg 17' 57.23"" E",-
D:/Data/20230206_103113_Jl.-Tgk.-Meunara---II-0+000.jpg,"Jl. Tgk. Meunara - II
0+000",20230206_103113_Jl.-Tgk.-Meunara---II-0+000.jpg,2023:02:06 10:31:13,"5 deg 31' 32.31"" N, 95 deg 17' 52.13"" E",-
D:/Data/20230206_103116_Jl.-Tgk.-Meunara---II-0+000.jpg,"Jl. Tgk. Meunara - II
0+000",20230206_103116_Jl.-Tgk.-Meunara---II-0+000.jpg,2023:02:06 10:31:16,"5 deg 31' 32.28"" N, 95 deg 17' 52.11"" E",-
D:/Data/20230206_103257_Jl.-Tgk.-Meunara---II-0+010.jpg,"Jl. Tgk. Meunara - II
0+010",20230206_103257_Jl.-Tgk.-Meunara---II-0+010.jpg,2023:02:06 10:32:57,"5 deg 31' 32.52"" N, 95 deg 17' 53.11"" E",-
D:/Data/20230206_103311_Jl.-Tgk.-Meunara---II-0+010.jpg,"Jl. Tgk. Meunara - II
0+010",20230206_103311_Jl.-Tgk.-Meunara---II-0+010.jpg,2023:02:06 10:33:10,"5 deg 31' 32.52"" N, 95 deg 17' 53.11"" E",-
D:/Data/20230206_103405_Jl.-Tgk.-Meunara---II-0+050.jpg,"Jl. Tgk. Meunara - II
0+050",20230206_103405_Jl.-Tgk.-Meunara---II-0+050.jpg,2023:02:06 10:34:05,"5 deg 31' 32.86"" N, 95 deg 17' 54.81"" E",-
D:/Data/20230206_103508_Jl.-Tgk.-Meunara---II-0+100.jpg,"Jl. Tgk. Meunara - II
0+100",20230206_103508_Jl.-Tgk.-Meunara---II-0+100.jpg,2023:02:06 10:35:08,"5 deg 31' 33.60"" N, 95 deg 17' 56.98"" E",-
D:/Data/20230206_103551_Jl.-Tgk.-Meunara---II-0+150.jpg,"Jl. Tgk. Meunara - II
0+150",20230206_103551_Jl.-Tgk.-Meunara---II-0+150.jpg,2023:02:06 10:35:51,"5 deg 31' 35.05"" N, 95 deg 17' 57.25"" E",-
D:/Data/20230206_103652_Jl.-Tgk.-Meunara---II-0+200.jpg,"Jl. Tgk. Meunara - II
0+200",20230206_103652_Jl.-Tgk.-Meunara---II-0+200.jpg,2023:02:06 10:36:52,"5 deg 31' 37.10"" N, 95 deg 17' 57.24"" E",-
D:/Data/20230206_103755_Jl.-Tgk.-Meunara---II-0+245.jpg,"Jl. Tgk. Meunara - II
0+245",20230206_103755_Jl.-Tgk.-Meunara---II-0+245.jpg,2023:02:06 10:37:55,"5 deg 31' 38.86"" N, 95 deg 17' 57.23"" E",-
D:/Data/20230206_104140_Jl.-Tgk.-Meunara---III-0+000.jpg,"Jl. Tgk. Meunara - III
0+000",20230206_104140_Jl.-Tgk.-Meunara---III-0+000.jpg,2023:02:06 10:41:40,"5 deg 31' 30.08"" N, 95 deg 17' 53.90"" E",-
D:/Data/20230206_104309_Jl.-Tgk.-Meunara---III-0+050.jpg,"Jl. Tgk. Meunara - III
0+050",20230206_104309_Jl.-Tgk.-Meunara---III-0+050.jpg,2023:02:06 10:43:09,"5 deg 31' 31.17"" N, 95 deg 17' 56.23"" E",-
D:/Data/20230206_104408_Jl.-Tgk.-Meunara---III-0+100.jpg,"Jl. Tgk. Meunara - III
0+100",20230206_104408_Jl.-Tgk.-Meunara---III-0+100.jpg,2023:02:06 10:44:08,"5 deg 31' 31.64"" N, 95 deg 17' 57.81"" E",-
D:/Data/20230206_104501_Jl.-Tgk.-Meunara---III-0+150.jpg,"Jl. Tgk. Meunara - III
0+150",20230206_104501_Jl.-Tgk.-Meunara---III-0+150.jpg,2023:02:06 10:45:01,"5 deg 31' 31.76"" N, 95 deg 17' 59.94"" E",-
D:/Data/20230206_104551_Jl.-Tgk.-Meunara---III-0+200.jpg,"Jl. Tgk. Meunara - III
0+200",20230206_104551_Jl.-Tgk.-Meunara---III-0+200.jpg,2023:02:06 10:45:51,"5 deg 31' 31.42"" N, 95 deg 18' 2.13"" E",-
D:/Data/20230206_104638_Jl.-Tgk.-Meunara---III-0+250.jpg,"Jl. Tgk. Meunara - III
0+250",20230206_104638_Jl.-Tgk.-Meunara---III-0+250.jpg,2023:02:06 10:46:38,"5 deg 31' 31.07"" N, 95 deg 18' 3.73"" E",-
D:/Data/20230206_104744_Jl.-Tgk.-Meunara---III-0+290.jpg,"Jl. Tgk. Meunara - III
0+290",20230206_104744_Jl.-Tgk.-Meunara---III-0+290.jpg,2023:02:06 10:47:44,"5 deg 31' 30.93"" N, 95 deg 18' 5.38"" E",-
D:/Data/20230206_104747_Jl.-Tgk.-Meunara---III-0+290.jpg,"Jl. Tgk. Meunara - III
0+290",20230206_104747_Jl.-Tgk.-Meunara---III-0+290.jpg,2023:02:06 10:47:47,"5 deg 31' 30.93"" N, 95 deg 18' 5.38"" E",-
D:/Data/20230206_105407_Jl.-Tgk.-Meunara---IV-0+000.jpg,"Jl. Tgk. Meunara - IV
0+000",20230206_105407_Jl.-Tgk.-Meunara---IV-0+000.jpg,2023:02:06 10:54:07,"5 deg 31' 28.55"" N, 95 deg 17' 55.13"" E",-
D:/Data/20230206_105410_Jl.-Tgk.-Meunara---IV-0+000.jpg,"Jl. Tgk. Meunara - IV
0+000",20230206_105410_Jl.-Tgk.-Meunara---IV-0+000.jpg,2023:02:06 10:54:10,"5 deg 31' 28.55"" N, 95 deg 17' 55.13"" E",-
D:/Data/20230206_105538_Jl.-Tgk.-Meunara---IV-0+050.jpg,"Jl. Tgk. Meunara - IV
0+050",20230206_105538_Jl.-Tgk.-Meunara---IV-0+050.jpg,2023:02:06 10:55:38,"5 deg 31' 28.80"" N, 95 deg 17' 56.83"" E",-
D:/Data/20230206_105541_Jl.-Tgk.-Meunara---IV-0+050.jpg,"Jl. Tgk. Meunara - IV
0+050",20230206_105541_Jl.-Tgk.-Meunara---IV-0+050.jpg,2023:02:06 10:55:41,"5 deg 31' 28.80"" N, 95 deg 17' 56.83"" E",-
D:/Data/20230206_105727_Jl.-Tgk.-Meunara---V-0+000.jpg,"Jl. Tgk. Meunara - V
0+000",20230206_105727_Jl.-Tgk.-Meunara---V-0+000.jpg,2023:02:06 10:57:27,"5 deg 31' 27.15"" N, 95 deg 17' 56.42"" E",-
D:/Data/20230206_105731_Jl.-Tgk.-Meunara---V-0+000.jpg,"Jl. Tgk. Meunara - V
0+000",20230206_105731_Jl.-Tgk.-Meunara---V-0+000.jpg,2023:02:06 10:57:31,"5 deg 31' 26.95"" N, 95 deg 17' 56.43"" E",-
D:/Data/20230206_105916_Jl.-Tgk.-Meunara---V-0+050.jpg,"Jl. Tgk. Meunara - V
0+050",20230206_105916_Jl.-Tgk.-Meunara---V-0+050.jpg,2023:02:06 10:59:16,"5 deg 31' 26.30"" N, 95 deg 17' 59.14"" E",-
D:/Data/20230206_110022_Jl.-Tgk.-Meunara---V-0+100.jpg,"Jl. Tgk. Meunara - V
0+100",20230206_110022_Jl.-Tgk.-Meunara---V-0+100.jpg,2023:02:06 11:00:22,"5 deg 31' 26.82"" N, 95 deg 18' 1.13"" E",-
D:/Data/20230206_110107_Jl.-Tgk.-Meunara---V-0+125.jpg,"Jl. Tgk. Meunara - V
0+125",20230206_110107_Jl.-Tgk.-Meunara---V-0+125.jpg,2023:02:06 11:01:07,"5 deg 31' 26.99"" N, 95 deg 18' 2.16"" E",-
D:/Data/20230206_110108_Jl.-Tgk.-Meunara---V-0+125.jpg,"Jl. Tgk. Meunara - V
0+125",20230206_110108_Jl.-Tgk.-Meunara---V-0+125.jpg,2023:02:06 11:01:08,"5 deg 31' 26.99"" N, 95 deg 18' 2.17"" E",-
D:/Data/20230206_110243_Jl.-Tgk.-Meunara---VI-0+000.jpg,"Jl. Tgk. Meunara - VI
0+000",20230206_110243_Jl.-Tgk.-Meunara---VI-0+000.jpg,2023:02:06 11:02:43,"5 deg 31' 23.82"" N, 95 deg 17' 58.78"" E",-
D:/Data/20230206_110247_Jl.-Tgk.-Meunara---VI-0+000.jpg,"Jl. Tgk. Meunara - VI
0+000",20230206_110247_Jl.-Tgk.-Meunara---VI-0+000.jpg,2023:02:06 11:02:47,"5 deg 31' 23.82"" N, 95 deg 17' 58.78"" E",-
D:/Data/20230206_110427_Jl.-Tgk.-Meunara---VI-0+050.jpg,"Jl. Tgk. Meunara - VI
0+050",20230206_110427_Jl.-Tgk.-Meunara---VI-0+050.jpg,2023:02:06 11:04:27,"5 deg 31' 24.10"" N, 95 deg 18' 0.80"" E",-
D:/Data/20230206_110529_Jl.-Tgk.-Meunara---VI-0+100.jpg,"Jl. Tgk. Meunara - VI
0+100",20230206_110529_Jl.-Tgk.-Meunara---VI-0+100.jpg,2023:02:06 11:05:29,"5 deg 31' 25.81"" N, 95 deg 18' 2.71"" E",-
D:/Data/20230206_110611_Jl.-Tgk.-Meunara---VI-0+140.jpg,"Jl. Tgk. Meunara - VI
0+140",20230206_110611_Jl.-Tgk.-Meunara---VI-0+140.jpg,2023:02:06 11:06:11,"5 deg 31' 26.73"" N, 95 deg 18' 2.42"" E",-
D:/Data/20230206_110615_Jl.-Tgk.-Meunara---VI-0+140.jpg,"Jl. Tgk. Meunara - VI
0+140",20230206_110615_Jl.-Tgk.-Meunara---VI-0+140.jpg,2023:02:06 11:06:15,"5 deg 31' 26.73"" N, 95 deg 18' 2.42"" E",-
D:/Data/20230207_104028_Jl.-Baburrahman-STA-0+000.jpg,"Jl. Baburrahman
STA 0+000",20230207_104028_Jl.-Baburrahman-STA-0+000.jpg,2023:02:07 10:40:28,"5 deg 32' 18.80"" N, 95 deg 18' 28.98"" E",-
D:/Data/20230207_104224_Jl.-Baburrahman-STA-0+030.jpg,"Jl. Baburrahman
STA 0+030",20230207_104224_Jl.-Baburrahman-STA-0+030.jpg,2023:02:07 10:42:24,"5 deg 32' 19.23"" N, 95 deg 18' 27.43"" E",-
D:/Data/20230207_104306_Jl.-Baburrahman-STA-0+050.jpg,"Jl. Baburrahman
STA 0+050",20230207_104306_Jl.-Baburrahman-STA-0+050.jpg,2023:02:07 10:43:06,"5 deg 32' 19.61"" N, 95 deg 18' 26.57"" E",-
D:/Data/20230207_104345_Jl.-Baburrahman-STA-0+100.jpg,"Jl. Baburrahman
STA 0+100",20230207_104345_Jl.-Baburrahman-STA-0+100.jpg,2023:02:07 10:43:45,"5 deg 32' 19.97"" N, 95 deg 18' 24.65"" E",-
D:/Data/20230207_104432_Jl.-Baburrahman-STA-0+150.jpg,"Jl. Baburrahman
STA 0+150",20230207_104432_Jl.-Baburrahman-STA-0+150.jpg,2023:02:07 10:44:32,"5 deg 32' 21.14"" N, 95 deg 18' 24.39"" E",-
D:/Data/20230207_104509_Jl.-Baburrahman-STA-0+200.jpg,"Jl. Baburrahman
STA 0+200",20230207_104509_Jl.-Baburrahman-STA-0+200.jpg,2023:02:07 10:45:09,"5 deg 32' 22.96"" N, 95 deg 18' 23.86"" E",-
D:/Data/20230207_104600_Jl.-Baburrahman-STA-0+250.jpg,"Jl. Baburrahman
STA 0+250",20230207_104600_Jl.-Baburrahman-STA-0+250.jpg,2023:02:07 10:46:00,"5 deg 32' 24.88"" N, 95 deg 18' 23.24"" E",-
D:/Data/20230207_104651_Jl.-Baburrahman-STA-0+300.jpg,"Jl. Baburrahman
STA 0+300",20230207_104651_Jl.-Baburrahman-STA-0+300.jpg,2023:02:07 10:46:51,"5 deg 32' 26.69"" N, 95 deg 18' 22.61"" E",-
D:/Data/20230207_104806_Jl.-Baburrahman-STA-0+345.jpg,"Jl. Baburrahman
STA 0+345",20230207_104806_Jl.-Baburrahman-STA-0+345.jpg,2023:02:07 10:48:06,"5 deg 32' 28.45"" N, 95 deg 18' 22.04"" E",-
D:/Data/20230207_104809_Jl.-Baburrahman-STA-0+345.jpg,"Jl. Baburrahman
STA 0+345",20230207_104809_Jl.-Baburrahman-STA-0+345.jpg,2023:02:07 10:48:09,"5 deg 32' 28.46"" N, 95 deg 18' 22.04"" E",-
