SourceFile,ImageDescription,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20230127_095147_Jl.-Tgk.-Nyak-Gam-0+000.jpg,"Jl. Tgk. Nyak Gam
0+000",20230127_095147_Jl.-Tgk.-Nyak-Gam-0+000.jpg,2023:01:27 09:51:47,"5 deg 32' 3.15"" N, 95 deg 17' 17.58"" E",-
D:/Data/20230127_095335_Jl.-Tgk.-Nyak-Gam-0+050.jpg,"Jl. Tgk. Nyak Gam
0+050",20230127_095335_Jl.-Tgk.-Nyak-Gam-0+050.jpg,2023:01:27 09:53:35,"5 deg 32' 4.86"" N, 95 deg 17' 19.04"" E",-
D:/Data/20230127_095423_Jl.-Tgk.-Nyak-Gam-0+100.jpg,"Jl. Tgk. Nyak Gam
0+100",20230127_095423_Jl.-Tgk.-Nyak-Gam-0+100.jpg,2023:01:27 09:54:23,"5 deg 32' 6.06"" N, 95 deg 17' 19.39"" E",-
D:/Data/20230127_095518_Jl.-Tgk.-Nyak-Gam-0+150.jpg,"Jl. Tgk. Nyak Gam
0+150",20230127_095518_Jl.-Tgk.-Nyak-Gam-0+150.jpg,2023:01:27 09:55:18,"5 deg 32' 8.03"" N, 95 deg 17' 19.74"" E",-
D:/Data/20230127_095612_Jl.-Tgk.-Nyak-Gam-0+200.jpg,"Jl. Tgk. Nyak Gam
0+200",20230127_095612_Jl.-Tgk.-Nyak-Gam-0+200.jpg,2023:01:27 09:56:12,"5 deg 32' 8.73"" N, 95 deg 17' 22.02"" E",-
D:/Data/20230127_095647_Jl.-Tgk.-Nyak-Gam-0+250.jpg,"Jl. Tgk. Nyak Gam
0+250",20230127_095647_Jl.-Tgk.-Nyak-Gam-0+250.jpg,2023:01:27 09:56:47,"5 deg 32' 9.46"" N, 95 deg 17' 23.13"" E",-
D:/Data/20230127_095754_Jl.-Tgk.-Nyak-Gam-0+300.jpg,"Jl. Tgk. Nyak Gam
0+300",20230127_095754_Jl.-Tgk.-Nyak-Gam-0+300.jpg,2023:01:27 09:57:54,"5 deg 32' 10.27"" N, 95 deg 17' 25.20"" E",-
D:/Data/20230127_095819_Jl.-Tgk.-Nyak-Gam-0+305.jpg,"Jl. Tgk. Nyak Gam
0+305",20230127_095819_Jl.-Tgk.-Nyak-Gam-0+305.jpg,2023:01:27 09:58:19,"5 deg 32' 10.27"" N, 95 deg 17' 25.19"" E",-
D:/Data/20230127_100158_Jl.-M.-Yusuf-Harun-0+000.jpg,"Jl. M. Yusuf Harun
0+000",20230127_100158_Jl.-M.-Yusuf-Harun-0+000.jpg,2023:01:27 10:01:58,"5 deg 32' 7.80"" N, 95 deg 17' 11.07"" E",-
D:/Data/20230127_100213_Jl.-M.-Yusuf-Harun-0+000.jpg,"Jl. M. Yusuf Harun
0+000",20230127_100213_Jl.-M.-Yusuf-Harun-0+000.jpg,2023:01:27 10:02:13,"5 deg 32' 7.80"" N, 95 deg 17' 11.07"" E",-
D:/Data/20230127_100528_Jl.-M.-Yusuf-Harun-0+050.jpg,"Jl. M. Yusuf Harun
0+050",20230127_100528_Jl.-M.-Yusuf-Harun-0+050.jpg,2023:01:27 10:05:28,"5 deg 32' 8.38"" N, 95 deg 17' 13.23"" E",-
D:/Data/20230127_100609_Jl.-M.-Yusuf-Harun-0+100.jpg,"Jl. M. Yusuf Harun
0+100",20230127_100609_Jl.-M.-Yusuf-Harun-0+100.jpg,2023:01:27 10:06:09,"5 deg 32' 8.38"" N, 95 deg 17' 14.52"" E",-
D:/Data/20230127_100714_Jl.-M.-Yusuf-Harun-0+110.jpg,"Jl. M. Yusuf Harun
0+110",20230127_100714_Jl.-M.-Yusuf-Harun-0+110.jpg,2023:01:27 10:07:14,"5 deg 32' 8.21"" N, 95 deg 17' 15.29"" E",-
D:/Data/20230127_100717_Jl.-M.-Yusuf-Harun-0+110.jpg,"Jl. M. Yusuf Harun
0+110",20230127_100717_Jl.-M.-Yusuf-Harun-0+110.jpg,2023:01:27 10:07:17,"5 deg 32' 8.21"" N, 95 deg 17' 15.29"" E",-
D:/Data/20230127_100855_Jl.-K.-Adnan-0+000.jpg,"Jl. K. Adnan
0+000",20230127_100855_Jl.-K.-Adnan-0+000.jpg,2023:01:27 10:08:55,"5 deg 32' 4.51"" N, 95 deg 17' 15.62"" E",-
D:/Data/20230127_100858_Jl.-K.-Adnan-0+000.jpg,"Jl. K. Adnan
0+000",20230127_100858_Jl.-K.-Adnan-0+000.jpg,2023:01:27 10:08:58,"5 deg 32' 4.51"" N, 95 deg 17' 15.63"" E",-
D:/Data/20230127_100939_Jl.-K.-Adnan-0+000.jpg,"Jl. K. Adnan
0+000",20230127_100939_Jl.-K.-Adnan-0+000.jpg,2023:01:27 10:09:39,"5 deg 32' 6.17"" N, 95 deg 17' 15.58"" E",-
D:/Data/20230127_100951_Jl.-K.-Adnan-0+050.jpg,"Jl. K. Adnan
0+050",20230127_100951_Jl.-K.-Adnan-0+050.jpg,2023:01:27 10:09:51,"5 deg 32' 6.23"" N, 95 deg 17' 15.62"" E",-
D:/Data/20230127_101047_Jl.-K.-Adnan-0+100.jpg,"Jl. K. Adnan
0+100",20230127_101047_Jl.-K.-Adnan-0+100.jpg,2023:01:27 10:10:47,"5 deg 32' 8.84"" N, 95 deg 17' 15.66"" E",-
D:/Data/20230127_101129_Jl.-K.-Adnan-0+150.jpg,"Jl. K. Adnan
0+150",20230127_101129_Jl.-K.-Adnan-0+150.jpg,2023:01:27 10:11:29,"5 deg 32' 10.60"" N, 95 deg 17' 15.71"" E",-
D:/Data/20230127_101222_Jl.-K.-Adnan-0+200.jpg,"Jl. K. Adnan
0+200",20230127_101222_Jl.-K.-Adnan-0+200.jpg,2023:01:27 10:12:21,"5 deg 32' 10.93"" N, 95 deg 17' 13.73"" E",-
D:/Data/20230127_101337_Jl.-K.-Adnan-0+245.jpg,"Jl. K. Adnan
0+245",20230127_101337_Jl.-K.-Adnan-0+245.jpg,2023:01:27 10:13:37,"5 deg 32' 12.41"" N, 95 deg 17' 13.81"" E",-
D:/Data/20230127_101340_Jl.-K.-Adnan-0+245.jpg,"Jl. K. Adnan
0+245",20230127_101340_Jl.-K.-Adnan-0+245.jpg,2023:01:27 10:13:40,"5 deg 32' 12.41"" N, 95 deg 17' 13.81"" E",-
D:/Data/20230127_101617_Jl.-K.-Rahman-0+000.jpg,"Jl. K. Rahman
0+000",20230127_101617_Jl.-K.-Rahman-0+000.jpg,2023:01:27 10:16:17,"5 deg 32' 6.26"" N, 95 deg 17' 15.56"" E",-
D:/Data/20230127_101620_Jl.-K.-Rahman-0+000.jpg,"Jl. K. Rahman
0+000",20230127_101620_Jl.-K.-Rahman-0+000.jpg,2023:01:27 10:16:19,"5 deg 32' 6.25"" N, 95 deg 17' 15.59"" E",-
D:/Data/20230127_101748_Jl.-K.-Rahman-0+050.jpg,"Jl. K. Rahman
0+050",20230127_101748_Jl.-K.-Rahman-0+050.jpg,2023:01:27 10:17:48,"5 deg 32' 6.90"" N, 95 deg 17' 17.92"" E",-
D:/Data/20230127_101838_Jl.-K.-Rahman-0+095.jpg,"Jl. K. Rahman
0+095",20230127_101838_Jl.-K.-Rahman-0+095.jpg,2023:01:27 10:18:38,"5 deg 32' 7.06"" N, 95 deg 17' 19.00"" E",-
D:/Data/20230127_102142_Jl.-Nyak-Cut-0+000.jpg,"Jl. Nyak Cut
0+000",20230127_102142_Jl.-Nyak-Cut-0+000.jpg,2023:01:27 10:21:42,"5 deg 32' 6.93"" N, 95 deg 17' 17.81"" E",-
D:/Data/20230127_102240_Jl.-Nyak-Cut-0+050.jpg,"Jl. Nyak Cut
0+050",20230127_102240_Jl.-Nyak-Cut-0+050.jpg,2023:01:27 10:22:40,"5 deg 32' 8.48"" N, 95 deg 17' 17.34"" E",-
D:/Data/20230127_102322_Jl.-Nyak-Cut-0+100.jpg,"Jl. Nyak Cut
0+100",20230127_102322_Jl.-Nyak-Cut-0+100.jpg,2023:01:27 10:23:22,"5 deg 32' 10.36"" N, 95 deg 17' 17.06"" E",-
D:/Data/20230127_102413_Jl.-Nyak-Cut-0+135.jpg,"Jl. Nyak Cut
0+135",20230127_102413_Jl.-Nyak-Cut-0+135.jpg,2023:01:27 10:24:13,"5 deg 32' 10.87"" N, 95 deg 17' 18.48"" E",-
D:/Data/20230127_103050_Jl.-K.-Zam-Zam-0+000.jpg,"Jl. K. Zam Zam
0+000",20230127_103050_Jl.-K.-Zam-Zam-0+000.jpg,2023:01:27 10:30:50,"5 deg 32' 7.96"" N, 95 deg 17' 19.71"" E",-
D:/Data/20230127_103209_Jl.-K.-Zam-Zam-0+050.jpg,"Jl. K. Zam Zam
0+050",20230127_103209_Jl.-K.-Zam-Zam-0+050.jpg,2023:01:27 10:32:09,"5 deg 32' 10.07"" N, 95 deg 17' 19.23"" E",-
D:/Data/20230127_103300_Jl.-K.-Zam-Zam-0+100.jpg,"Jl. K. Zam Zam
0+100",20230127_103300_Jl.-K.-Zam-Zam-0+100.jpg,2023:01:27 10:33:00,"5 deg 32' 12.30"" N, 95 deg 17' 18.78"" E",-
D:/Data/20230127_103332_Jl.-K.-Zam-Zam-0+132.jpg,"Jl. K. Zam Zam
0+132",20230127_103332_Jl.-K.-Zam-Zam-0+132.jpg,2023:01:27 10:33:32,"5 deg 32' 12.95"" N, 95 deg 17' 18.51"" E",-
D:/Data/20230127_103540_Jl.-Tgk.-Ismail-0+000.jpg,"Jl. Tgk. Ismail
0+000",20230127_103540_Jl.-Tgk.-Ismail-0+000.jpg,2023:01:27 10:35:40,"5 deg 32' 5.81"" N, 95 deg 17' 19.44"" E",-
