SourceFile,ImageDescription,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20230120_094816_Jl.-K.-Budiman-0+000.jpg,"Jl. K. Budiman
0+000",20230120_094816_Jl.-K.-Budiman-0+000.jpg,2023:01:20 09:48:16,"5 deg 32' 54.30"" N, 95 deg 18' 28.43"" E",-
D:/Data/20230120_095022_Jl.-K.-Budiman-0+100.jpg,"Jl. K. Budiman
0+100",20230120_095022_Jl.-K.-Budiman-0+100.jpg,2023:01:20 09:50:22,"5 deg 32' 54.22"" N, 95 deg 18' 25.30"" E",-
D:/Data/20230120_095152_Jl.-K.-Budiman-0+200.jpg,"Jl. K. Budiman
0+200",20230120_095152_Jl.-K.-Budiman-0+200.jpg,2023:01:20 09:51:52,"5 deg 32' 54.28"" N, 95 deg 18' 22.37"" E",-
D:/Data/20230120_095254_Jl.-K.-Budiman-0+275.jpg,"Jl. K. Budiman
0+275",20230120_095254_Jl.-K.-Budiman-0+275.jpg,2023:01:20 09:52:54,"5 deg 32' 54.30"" N, 95 deg 18' 20.19"" E",-
D:/Data/20230120_095342_Jl.-K.-Budiman-0+275.jpg,"Jl. K. Budiman
0+275",20230120_095342_Jl.-K.-Budiman-0+275.jpg,2023:01:20 09:53:42,"5 deg 32' 54.36"" N, 95 deg 18' 20.01"" E",-
D:/Data/20230120_095703_Jl.-Syuhada-0+000.jpg,"Jl. Syuhada
0+000",20230120_095703_Jl.-Syuhada-0+000.jpg,2023:01:20 09:57:03,"5 deg 32' 46.46"" N, 95 deg 18' 21.85"" E",-
D:/Data/20230120_100028_Jl.-Syuhada-0+100.jpg,"Jl. Syuhada
0+100",20230120_100028_Jl.-Syuhada-0+100.jpg,2023:01:20 10:00:28,"5 deg 32' 42.94"" N, 95 deg 18' 22.03"" E",-
D:/Data/20230120_100051_Jl.-Syuhada-0+100.jpg,"Jl. Syuhada
0+100",20230120_100051_Jl.-Syuhada-0+100.jpg,2023:01:20 10:00:51,"5 deg 32' 42.93"" N, 95 deg 18' 21.98"" E",-
D:/Data/20230120_100203_Jl.-Syuhada-0+130.jpg,"Jl. Syuhada
0+130",20230120_100203_Jl.-Syuhada-0+130.jpg,2023:01:20 10:02:03,"5 deg 32' 42.27"" N, 95 deg 18' 21.85"" E",-
D:/Data/20230120_100257_Jl.-Tuan-Dipakeh-0+000.jpg,"Jl. Tuan Dipakeh
0+000",20230120_100257_Jl.-Tuan-Dipakeh-0+000.jpg,2023:01:20 10:02:57,"5 deg 32' 41.87"" N, 95 deg 18' 21.76"" E",-
D:/Data/20230120_100358_Jl.-Tuan-Dipakeh-0+045.jpg,"Jl. Tuan Dipakeh
0+045",20230120_100358_Jl.-Tuan-Dipakeh-0+045.jpg,2023:01:20 10:03:57,"5 deg 32' 40.61"" N, 95 deg 18' 21.42"" E",-
D:/Data/20230120_100649_Jl.-Tuan-Dipakeh-0+100.jpg,"Jl. Tuan Dipakeh
0+100",20230120_100649_Jl.-Tuan-Dipakeh-0+100.jpg,2023:01:20 10:06:49,"5 deg 32' 39.75"" N, 95 deg 18' 20.53"" E",-
D:/Data/20230120_100759_Jl.-Tuan-Dipakeh-0+200.jpg,"Jl. Tuan Dipakeh
0+200",20230120_100759_Jl.-Tuan-Dipakeh-0+200.jpg,2023:01:20 10:07:59,"5 deg 32' 37.50"" N, 95 deg 18' 20.52"" E",-
D:/Data/20230120_100802_Jl.-Tuan-Dipakeh-0+200.jpg,"Jl. Tuan Dipakeh
0+200",20230120_100802_Jl.-Tuan-Dipakeh-0+200.jpg,2023:01:20 10:08:02,"5 deg 32' 37.50"" N, 95 deg 18' 20.52"" E",-
D:/Data/20230120_100906_Jl.-Tuan-Dipakeh-II-0+000.jpg,"Jl. Tuan Dipakeh II
0+000",20230120_100906_Jl.-Tuan-Dipakeh-II-0+000.jpg,2023:01:20 10:09:06,"5 deg 32' 38.13"" N, 95 deg 18' 20.60"" E",-
D:/Data/20230120_101036_Jl.-Tuan-Dipakeh-II-0+065.jpg,"Jl. Tuan Dipakeh II
0+065",20230120_101036_Jl.-Tuan-Dipakeh-II-0+065.jpg,2023:01:20 10:10:36,"5 deg 32' 37.96"" N, 95 deg 18' 18.53"" E",-
D:/Data/20230120_101147_Jl.-Tuan-Dipakeh-II-0+125.jpg,"Jl. Tuan Dipakeh II
0+125",20230120_101147_Jl.-Tuan-Dipakeh-II-0+125.jpg,2023:01:20 10:11:46,"5 deg 32' 37.50"" N, 95 deg 18' 17.22"" E",-
D:/Data/20230120_101153_Jl.-Tuan-Dipakeh-II-0+125.jpg,"Jl. Tuan Dipakeh II
0+125",20230120_101153_Jl.-Tuan-Dipakeh-II-0+125.jpg,2023:01:20 10:11:53,"5 deg 32' 37.46"" N, 95 deg 18' 17.22"" E",-
D:/Data/20230120_101156_Jl.-Tuan-Dipakeh-II-0+125.jpg,"Jl. Tuan Dipakeh II
0+125",20230120_101156_Jl.-Tuan-Dipakeh-II-0+125.jpg,2023:01:20 10:11:56,"5 deg 32' 37.46"" N, 95 deg 18' 17.22"" E",-
D:/Data/20230120_101312_Jl.-Tuan-Dipakeh-I-0+000.jpg,"Jl. Tuan Dipakeh I
0+000",20230120_101312_Jl.-Tuan-Dipakeh-I-0+000.jpg,2023:01:20 10:13:12,"5 deg 32' 40.24"" N, 95 deg 18' 17.23"" E",-
D:/Data/20230120_101442_Jl.-Tuan-Dipakeh-I-0+110.jpg,"Jl. Tuan Dipakeh I
0+110",20230120_101442_Jl.-Tuan-Dipakeh-I-0+110.jpg,2023:01:20 10:14:41,"5 deg 32' 40.50"" N, 95 deg 18' 20.21"" E",-
D:/Data/20230120_101444_Jl.-Tuan-Dipakeh-I-0+110.jpg,"Jl. Tuan Dipakeh I
0+110",20230120_101444_Jl.-Tuan-Dipakeh-I-0+110.jpg,2023:01:20 10:14:44,"5 deg 32' 40.50"" N, 95 deg 18' 20.21"" E",-
D:/Data/20230120_101751_Jl.-Balee-0+000.jpg,"Jl. Balee
0+000",20230120_101751_Jl.-Balee-0+000.jpg,2023:01:20 10:17:51,"5 deg 32' 36.03"" N, 95 deg 18' 25.83"" E",-
D:/Data/20230120_101934_Jl.-Balee-0+100.jpg,"Jl. Balee
0+100",20230120_101934_Jl.-Balee-0+100.jpg,2023:01:20 10:19:34,"5 deg 32' 38.85"" N, 95 deg 18' 25.34"" E",-
D:/Data/20230120_102041_Jl.-Balee-0+200.jpg,"Jl. Balee
0+200",20230120_102041_Jl.-Balee-0+200.jpg,2023:01:20 10:20:41,"5 deg 32' 41.32"" N, 95 deg 18' 24.30"" E",-
D:/Data/20230120_102143_Jl.-Balee-0+275.jpg,"Jl. Balee
0+275",20230120_102143_Jl.-Balee-0+275.jpg,2023:01:20 10:21:43,"5 deg 32' 41.69"" N, 95 deg 18' 22.34"" E",-
D:/Data/20230120_102421_Jl.-Harapan-0+000.jpg,"Jl. Harapan
0+000",20230120_102421_Jl.-Harapan-0+000.jpg,2023:01:20 10:24:21,"5 deg 32' 45.26"" N, 95 deg 18' 22.01"" E",-
D:/Data/20230120_102533_Jl.-Harapan-0+100.jpg,"Jl. Harapan
0+100",20230120_102533_Jl.-Harapan-0+100.jpg,2023:01:20 10:25:33,"5 deg 32' 45.17"" N, 95 deg 18' 24.88"" E",-
D:/Data/20230120_102739_Jl.-Harapan-0+200.jpg,"Jl. Harapan
0+200",20230120_102739_Jl.-Harapan-0+200.jpg,2023:01:20 10:27:39,"5 deg 32' 45.70"" N, 95 deg 18' 27.55"" E",-
D:/Data/20230120_102855_Jl.-Harapan-0+300.jpg,"Jl. Harapan
0+300",20230120_102855_Jl.-Harapan-0+300.jpg,2023:01:20 10:28:55,"5 deg 32' 47.22"" N, 95 deg 18' 29.47"" E",-
D:/Data/20230120_103036_Jl.-Harapan-0+400.jpg,"Jl. Harapan
0+400",20230120_103036_Jl.-Harapan-0+400.jpg,2023:01:20 10:30:35,"5 deg 32' 47.44"" N, 95 deg 18' 32.15"" E",-
D:/Data/20230120_103101_Jl.-Harapan-0+400.jpg,"Jl. Harapan
0+400",20230120_103101_Jl.-Harapan-0+400.jpg,2023:01:20 10:31:01,"5 deg 32' 47.43"" N, 95 deg 18' 32.29"" E",-
D:/Data/20230120_103109_Jl.-Harapan-0+400.jpg,"Jl. Harapan
0+400",20230120_103109_Jl.-Harapan-0+400.jpg,2023:01:20 10:31:09,"5 deg 32' 47.43"" N, 95 deg 18' 32.29"" E",-
D:/Data/20230120_103212_Jl.-Harapan-0+435.jpg,"Jl. Harapan
0+435",20230120_103212_Jl.-Harapan-0+435.jpg,2023:01:20 10:32:12,"5 deg 32' 47.41"" N, 95 deg 18' 33.38"" E",-
D:/Data/20230120_103432_Jl.-Penyantun-0+000.jpg,"Jl. Penyantun
0+000",20230120_103432_Jl.-Penyantun-0+000.jpg,2023:01:20 10:34:32,"5 deg 32' 53.31"" N, 95 deg 18' 35.35"" E",-
D:/Data/20230120_103805_Jl.-Penyantun-0+100.jpg,"Jl. Penyantun
0+100",20230120_103805_Jl.-Penyantun-0+100.jpg,2023:01:20 10:38:05,"5 deg 32' 53.68"" N, 95 deg 18' 32.26"" E",-
