SourceFile,ImageDescription,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20230208_095032_Jl.-Tgk.-H.-Abubakar-STA-0+000.jpg,"Jl. Tgk. H. Abubakar
STA 0+000",20230208_095032_Jl.-Tgk.-H.-Abubakar-STA-0+000.jpg,2023:02:08 09:50:32,"5 deg 31' 58.53"" N, 95 deg 18' 5.18"" E",-
D:/Data/20230208_095034_Jl.-Tgk.-H.-Abubakar-STA-0+000.jpg,"Jl. Tgk. H. Abubakar
STA 0+000",20230208_095034_Jl.-Tgk.-H.-Abubakar-STA-0+000.jpg,2023:02:08 09:50:34,"5 deg 31' 58.51"" N, 95 deg 18' 5.17"" E",-
D:/Data/20230208_095156_Jl.-Tgk.-H.-Abubakar-STA-0+050.jpg,"Jl. Tgk. H. Abubakar
STA 0+050",20230208_095156_Jl.-Tgk.-H.-Abubakar-STA-0+050.jpg,2023:02:08 09:51:56,"5 deg 32' 0.15"" N, 95 deg 18' 4.78"" E",-
D:/Data/20230208_095319_Jl.-Tgk.-H.-Abubakar-STA-0+100.jpg,"Jl. Tgk. H. Abubakar
STA 0+100",20230208_095319_Jl.-Tgk.-H.-Abubakar-STA-0+100.jpg,2023:02:08 09:53:19,"5 deg 32' 2.54"" N, 95 deg 18' 4.51"" E",-
D:/Data/20230208_095355_Jl.-Tgk.-H.-Abubakar-STA-0+110.jpg,"Jl. Tgk. H. Abubakar
STA 0+110",20230208_095355_Jl.-Tgk.-H.-Abubakar-STA-0+110.jpg,2023:02:08 09:53:55,"5 deg 32' 2.94"" N, 95 deg 18' 4.44"" E",-
D:/Data/20230208_095559_Jl.-Tgk.-H.-Abubakar-STA-0+150.jpg,"Jl. Tgk. H. Abubakar
STA 0+150",20230208_095559_Jl.-Tgk.-H.-Abubakar-STA-0+150.jpg,2023:02:08 09:55:59,"5 deg 32' 5.70"" N, 95 deg 18' 3.80"" E",-
D:/Data/20230208_095646_Jl.-Tgk.-H.-Abubakar-STA-0+200.jpg,"Jl. Tgk. H. Abubakar
STA 0+200",20230208_095646_Jl.-Tgk.-H.-Abubakar-STA-0+200.jpg,2023:02:08 09:56:46,"5 deg 32' 7.13"" N, 95 deg 18' 2.26"" E",-
D:/Data/20230208_095731_Jl.-Tgk.-H.-Abubakar-STA-0+250.jpg,"Jl. Tgk. H. Abubakar
STA 0+250",20230208_095731_Jl.-Tgk.-H.-Abubakar-STA-0+250.jpg,2023:02:08 09:57:31,"5 deg 32' 8.33"" N, 95 deg 18' 0.40"" E",-
D:/Data/20230208_095811_Jl.-Tgk.-H.-Abubakar-STA-0+300.jpg,"Jl. Tgk. H. Abubakar
STA 0+300",20230208_095811_Jl.-Tgk.-H.-Abubakar-STA-0+300.jpg,2023:02:08 09:58:11,"5 deg 32' 10.71"" N, 95 deg 18' 0.86"" E",-
D:/Data/20230208_095853_Jl.-Tgk.-H.-Abubakar-STA-0+350.jpg,"Jl. Tgk. H. Abubakar
STA 0+350",20230208_095853_Jl.-Tgk.-H.-Abubakar-STA-0+350.jpg,2023:02:08 09:58:53,"5 deg 32' 12.92"" N, 95 deg 18' 1.07"" E",-
D:/Data/20230208_100006_Jl.-Tgk.-H.-Abubakar-STA-0+400.jpg,"Jl. Tgk. H. Abubakar
STA 0+400",20230208_100006_Jl.-Tgk.-H.-Abubakar-STA-0+400.jpg,2023:02:08 10:00:05,"5 deg 32' 14.95"" N, 95 deg 18' 1.30"" E",-
D:/Data/20230208_100047_Jl.-Tgk.-H.-Abubakar-STA-0+450.jpg,"Jl. Tgk. H. Abubakar
STA 0+450",20230208_100047_Jl.-Tgk.-H.-Abubakar-STA-0+450.jpg,2023:02:08 10:00:47,"5 deg 32' 16.94"" N, 95 deg 18' 1.54"" E",-
D:/Data/20230208_100134_Jl.-Tgk.-H.-Abubakar-STA-0+500.jpg,"Jl. Tgk. H. Abubakar
STA 0+500",20230208_100134_Jl.-Tgk.-H.-Abubakar-STA-0+500.jpg,2023:02:08 10:01:34,"5 deg 32' 18.61"" N, 95 deg 18' 2.53"" E",-
D:/Data/20230208_100219_Jl.-Tgk.-H.-Abubakar-STA-0+550.jpg,"Jl. Tgk. H. Abubakar
STA 0+550",20230208_100219_Jl.-Tgk.-H.-Abubakar-STA-0+550.jpg,2023:02:08 10:02:19,"5 deg 32' 20.54"" N, 95 deg 18' 3.89"" E",-
D:/Data/20230208_100306_Jl.-Tgk.-H.-Abubakar-STA-0+600.jpg,"Jl. Tgk. H. Abubakar
STA 0+600",20230208_100306_Jl.-Tgk.-H.-Abubakar-STA-0+600.jpg,2023:02:08 10:03:06,"5 deg 32' 22.18"" N, 95 deg 18' 3.95"" E",-
D:/Data/20230208_100428_Jl.-Tgk.-H.-Abubakar-STA-0+650.jpg,"Jl. Tgk. H. Abubakar
STA 0+650",20230208_100428_Jl.-Tgk.-H.-Abubakar-STA-0+650.jpg,2023:02:08 10:04:28,"5 deg 32' 24.08"" N, 95 deg 18' 3.92"" E",-
D:/Data/20230208_100448_Jl.-Tgk.-H.-Abubakar-STA-0+660.jpg,"Jl. Tgk. H. Abubakar
STA 0+660",20230208_100448_Jl.-Tgk.-H.-Abubakar-STA-0+660.jpg,2023:02:08 10:04:48,"5 deg 32' 24.09"" N, 95 deg 18' 3.91"" E",-
D:/Data/20230208_100452_Jl.-Tgk.-H.-Abubakar-STA-0+660.jpg,"Jl. Tgk. H. Abubakar
STA 0+660",20230208_100452_Jl.-Tgk.-H.-Abubakar-STA-0+660.jpg,2023:02:08 10:04:52,"5 deg 32' 24.09"" N, 95 deg 18' 3.91"" E",-
D:/Data/20230208_100903_Jl.-Unida-II-STA-0+000.jpg,"Jl. Unida II
STA 0+000",20230208_100903_Jl.-Unida-II-STA-0+000.jpg,2023:02:08 10:09:02,"5 deg 32' 24.92"" N, 95 deg 18' 5.44"" E",-
D:/Data/20230208_100916_Jl.-Unida-II-STA-0+000.jpg,"Jl. Unida II
STA 0+000",20230208_100916_Jl.-Unida-II-STA-0+000.jpg,2023:02:08 10:09:16,"5 deg 32' 24.91"" N, 95 deg 18' 5.45"" E",-
D:/Data/20230208_101031_Jl.-Unida-II-STA-0+050.jpg,"Jl. Unida II
STA 0+050",20230208_101031_Jl.-Unida-II-STA-0+050.jpg,2023:02:08 10:10:31,"5 deg 32' 22.91"" N, 95 deg 18' 5.42"" E",-
D:/Data/20230208_101144_Jl.-Unida-II-STA-0+100.jpg,"Jl. Unida II
STA 0+100",20230208_101144_Jl.-Unida-II-STA-0+100.jpg,2023:02:08 10:11:44,"5 deg 32' 20.50"" N, 95 deg 18' 6.18"" E",-
D:/Data/20230208_101222_Jl.-Unida-II-STA-0+140.jpg,"Jl. Unida II
STA 0+140",20230208_101222_Jl.-Unida-II-STA-0+140.jpg,2023:02:08 10:12:22,"5 deg 32' 19.23"" N, 95 deg 18' 6.79"" E",-
D:/Data/20230208_101409_Jl.-Pemancar-Dalam-II-STA-0+000.jpg,"Jl. Pemancar Dalam II
STA 0+000",20230208_101409_Jl.-Pemancar-Dalam-II-STA-0+000.jpg,2023:02:08 10:14:08,"5 deg 32' 20.45"" N, 95 deg 18' 15.92"" E",-
D:/Data/20230208_101411_Jl.-Pemancar-Dalam-II-STA-0+000.jpg,"Jl. Pemancar Dalam II
STA 0+000",20230208_101411_Jl.-Pemancar-Dalam-II-STA-0+000.jpg,2023:02:08 10:14:11,"5 deg 32' 20.46"" N, 95 deg 18' 15.92"" E",-
D:/Data/20230208_101520_Jl.-Pemancar-Dalam-II-STA-0+020.jpg,"Jl. Pemancar Dalam II
STA 0+020",20230208_101520_Jl.-Pemancar-Dalam-II-STA-0+020.jpg,2023:02:08 10:15:20,"5 deg 32' 20.25"" N, 95 deg 18' 14.65"" E",-
D:/Data/20230208_101619_Jl.-Pemancar-Dalam-II-STA-0+050.jpg,"Jl. Pemancar Dalam II
STA 0+050",20230208_101619_Jl.-Pemancar-Dalam-II-STA-0+050.jpg,2023:02:08 10:16:18,"5 deg 32' 19.73"" N, 95 deg 18' 12.95"" E",-
D:/Data/20230208_101703_Jl.-Pemancar-Dalam-II-STA-0+100.jpg,"Jl. Pemancar Dalam II
STA 0+100",20230208_101703_Jl.-Pemancar-Dalam-II-STA-0+100.jpg,2023:02:08 10:17:03,"5 deg 32' 19.24"" N, 95 deg 18' 11.00"" E",-
