SourceFile,ImageDescription,FileName,CreateDate,GPSPosition,UserComment
D:/Data/20230213_112004_Jl.-Lam-Ara-Utama-0+000.jpg,"Jl. Lam Ara Utama
0+000",20230213_112004_Jl.-Lam-Ara-Utama-0+000.jpg,2023:02:13 11:20:04,"5 deg 31' 9.34"" N, 95 deg 18' 34.92"" E",-
D:/Data/20230213_112152_Jl.-Lam-Ara-Utama-0+100.jpg,"Jl. Lam Ara Utama
0+100",20230213_112152_Jl.-Lam-Ara-Utama-0+100.jpg,2023:02:13 11:21:52,"5 deg 31' 12.40"" N, 95 deg 18' 34.98"" E",-
D:/Data/20230213_112316_Jl.-Lam-Ara-Utama-0+200.jpg,"Jl. Lam Ara Utama
0+200",20230213_112316_Jl.-Lam-Ara-Utama-0+200.jpg,2023:02:13 11:23:16,"5 deg 31' 16.06"" N, 95 deg 18' 35.45"" E",-
D:/Data/20230213_112418_Jl.-Lam-Ara-Utama-0+300.jpg,"Jl. Lam Ara Utama
0+300",20230213_112418_Jl.-Lam-Ara-Utama-0+300.jpg,2023:02:13 11:24:18,"5 deg 31' 16.59"" N, 95 deg 18' 33.21"" E",-
D:/Data/20230213_112454_Jl.-Lam-Ara-Utama-0+345.jpg,"Jl. Lam Ara Utama
0+345",20230213_112454_Jl.-Lam-Ara-Utama-0+345.jpg,2023:02:13 11:24:54,"5 deg 31' 16.46"" N, 95 deg 18' 32.28"" E",-
D:/Data/20230213_112729_Jl.-Lam-Ara-1-0+000.jpg,"Jl. Lam Ara 1
0+000",20230213_112729_Jl.-Lam-Ara-1-0+000.jpg,2023:02:13 11:27:29,"5 deg 31' 16.60"" N, 95 deg 18' 35.25"" E",-
D:/Data/20230213_113029_Jl.-Lam-Ara-1-0+100.jpg,"Jl. Lam Ara 1
0+100",20230213_113029_Jl.-Lam-Ara-1-0+100.jpg,2023:02:13 11:30:29,"5 deg 31' 16.89"" N, 95 deg 18' 37.29"" E",-
D:/Data/20230213_113117_Jl.-Lam-Ara-1-0+200.jpg,"Jl. Lam Ara 1
0+200",20230213_113117_Jl.-Lam-Ara-1-0+200.jpg,2023:02:13 11:31:17,"5 deg 31' 16.59"" N, 95 deg 18' 40.33"" E",-
D:/Data/20230213_113213_Jl.-Lam-Ara-1-0+300.jpg,"Jl. Lam Ara 1
0+300",20230213_113213_Jl.-Lam-Ara-1-0+300.jpg,2023:02:13 11:32:13,"5 deg 31' 16.12"" N, 95 deg 18' 43.40"" E",-
D:/Data/20230213_113310_Jl.-Lam-Ara-1-0+400.jpg,"Jl. Lam Ara 1
0+400",20230213_113310_Jl.-Lam-Ara-1-0+400.jpg,2023:02:13 11:33:10,"5 deg 31' 16.06"" N, 95 deg 18' 46.45"" E",-
D:/Data/20230213_113335_Jl.-Lam-Ara-1-0+425.jpg,"Jl. Lam Ara 1
0+425",20230213_113335_Jl.-Lam-Ara-1-0+425.jpg,2023:02:13 11:33:35,"5 deg 31' 16.28"" N, 95 deg 18' 47.01"" E",-
D:/Data/20230213_113622_Jl.-Mesjid-Al-Qurban-0+000.jpg,"Jl. Mesjid Al-Qurban
0+000",20230213_113622_Jl.-Mesjid-Al-Qurban-0+000.jpg,2023:02:13 11:36:22,"5 deg 31' 6.40"" N, 95 deg 18' 48.74"" E",-
D:/Data/20230213_113733_Jl.-Mesjid-Al-Qurban-0+100.jpg,"Jl. Mesjid Al-Qurban
0+100",20230213_113733_Jl.-Mesjid-Al-Qurban-0+100.jpg,2023:02:13 11:37:33,"5 deg 31' 9.74"" N, 95 deg 18' 48.58"" E",-
D:/Data/20230213_113802_Jl.-Mesjid-Al-Qurban-0+200.jpg,"Jl. Mesjid Al-Qurban
0+200",20230213_113802_Jl.-Mesjid-Al-Qurban-0+200.jpg,2023:02:13 11:38:02,"5 deg 31' 12.76"" N, 95 deg 18' 47.64"" E",-
D:/Data/20230213_113839_Jl.-Mesjid-Al-Qurban-0+300.jpg,"Jl. Mesjid Al-Qurban
0+300",20230213_113839_Jl.-Mesjid-Al-Qurban-0+300.jpg,2023:02:13 11:38:39,"5 deg 31' 15.81"" N, 95 deg 18' 47.27"" E",-
D:/Data/20230213_113921_Jl.-Mesjid-Al-Qurban-0+400.jpg,"Jl. Mesjid Al-Qurban
0+400",20230213_113921_Jl.-Mesjid-Al-Qurban-0+400.jpg,2023:02:13 11:39:21,"5 deg 31' 19.31"" N, 95 deg 18' 47.03"" E",-
D:/Data/20230213_114018_Jl.-Mesjid-Al-Qurban-0+500.jpg,"Jl. Mesjid Al-Qurban
0+500",20230213_114018_Jl.-Mesjid-Al-Qurban-0+500.jpg,2023:02:13 11:40:18,"5 deg 31' 22.53"" N, 95 deg 18' 46.84"" E",-
